state,round,year,area,section,indicator,harmonized_indicator,value,data_flag,source
India,NFHS-6,2023-24,Urban,Characteristics of Adults (age 15-49 years),Women who have ever used the internet (%),Women who ever used the internet (%),77.3,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Characteristics of Adults (age 15-49 years),Women who have ever used the internet (%),Women who ever used the internet (%),58.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Characteristics of Adults (age 15-49 years),Women who have ever used the internet (%),Women who ever used the internet (%),64.3,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Characteristics of Adults (age 15-49 years),Men who have ever used the internet (%),Men who ever used the internet (%),87.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Characteristics of Adults (age 15-49 years),Men who have ever used the internet (%),Men who ever used the internet (%),77.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Characteristics of Adults (age 15-49 years),Men who have ever used the internet (%),Men who ever used the internet (%),80.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),Women 20-24 married before age 18 (%),11.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),Women 20-24 married before age 18 (%),23.3,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Marriage and Fertility,Women age 20-24 years married before age 18 years (%),Women 20-24 married before age 18 (%),20.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Marriage and Fertility,Men age 25-29 years married before age 21 years (%),Men 25-29 married before age 21 (%),9.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Marriage and Fertility,Men age 25-29 years married before age 21 years (%),Men 25-29 married before age 21 (%),19.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Marriage and Fertility,Men age 25-29 years married before age 21 years (%),Men 25-29 married before age 21 (%),15.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Marriage and Fertility,Total fertility rate (children per woman),Total fertility rate (children per woman),1.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Marriage and Fertility,Total fertility rate (children per woman),Total fertility rate (children per woman),2.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Marriage and Fertility,Total fertility rate (children per woman),Total fertility rate (children per woman),2.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Women 15-19 already mothers/pregnant (%),3.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Women 15-19 already mothers/pregnant (%),7.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Marriage and Fertility,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Women 15-19 already mothers/pregnant (%),6.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Current Use of Family Planning Methods (currently married women age 15-49 years),Any method2 (%),FP: Any method (%),69.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Current Use of Family Planning Methods (currently married women age 15-49 years),Any method2 (%),FP: Any method (%),68.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Current Use of Family Planning Methods (currently married women age 15-49 years),Any method2 (%),FP: Any method (%),69.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Current Use of Family Planning Methods (currently married women age 15-49 years),Any modern method2 (%),FP: Any modern method (%),52.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Current Use of Family Planning Methods (currently married women age 15-49 years),Any modern method2 (%),FP: Any modern method (%),52.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Current Use of Family Planning Methods (currently married women age 15-49 years),Any modern method2 (%),FP: Any modern method (%),52.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Current Use of Family Planning Methods (currently married women age 15-49 years),Any traditional method (%),,16.7,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Current Use of Family Planning Methods (currently married women age 15-49 years),Any traditional method (%),,16.2,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Current Use of Family Planning Methods (currently married women age 15-49 years),Any traditional method (%),,16.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Current Use of Family Planning Methods (currently married women age 15-49 years),Female sterilization (%),FP: Female sterilization (%),32.6,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Current Use of Family Planning Methods (currently married women age 15-49 years),Female sterilization (%),FP: Female sterilization (%),38.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Current Use of Family Planning Methods (currently married women age 15-49 years),Female sterilization (%),FP: Female sterilization (%),36.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Current Use of Family Planning Methods (currently married women age 15-49 years),Male sterilization (%),FP: Male sterilization (%),0.4,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Current Use of Family Planning Methods (currently married women age 15-49 years),Male sterilization (%),FP: Male sterilization (%),0.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Current Use of Family Planning Methods (currently married women age 15-49 years),Male sterilization (%),FP: Male sterilization (%),0.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Unmet Need for Family Planning (currently married women age 15-49 years),Total unmet need3 (%),Total unmet need for FP (%),7.0,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Unmet Need for Family Planning (currently married women age 15-49 years),Total unmet need3 (%),Total unmet need for FP (%),9.1,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Unmet Need for Family Planning (currently married women age 15-49 years),Total unmet need3 (%),Total unmet need for FP (%),8.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Unmet Need for Family Planning (currently married women age 15-49 years),Unmet need for spacing3 (%),Unmet need for spacing (%),3.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Rural,Unmet Need for Family Planning (currently married women age 15-49 years),Unmet need for spacing3 (%),Unmet need for spacing (%),4.9,,NFHS-6 PDF
India,NFHS-6,2023-24,Total,Unmet Need for Family Planning (currently married women age 15-49 years),Unmet need for spacing3 (%),Unmet need for spacing (%),4.5,,NFHS-6 PDF
India,NFHS-6,2023-24,Urban,Unmet Need for Family Planning (currently married women age 15-49 years),Unmet need for limiting3 (%),,3.5,,NFHS-6 PDF
