state,round,year,area,section,indicator,harmonized_indicator,value,data_flag,source
Jammu and Kashmir,NFHS-6,2023-24,Total,Child Feeding Practices and Nutritional Status of Children,Children under age 6 months exclusively breastfed or breastfeeding and consuming plain water only/other milk10 (%),,79.0,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),Child 6-8m solid/semi-solid + breastmilk (%),,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),Child 6-8m solid/semi-solid + breastmilk (%),62.4,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Child Feeding Practices and Nutritional Status of Children,Children age 6-8 months receiving solid or semi-solid food and breastmilk10 (%),Child 6-8m solid/semi-solid + breastmilk (%),64.7,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Child Feeding Practices and Nutritional Status of Children,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",Breastfed child 6-23m adequate diet (%),21.4,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Child Feeding Practices and Nutritional Status of Children,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",Breastfed child 6-23m adequate diet (%),16.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Child Feeding Practices and Nutritional Status of Children,"Breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",Breastfed child 6-23m adequate diet (%),17.0,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Child Feeding Practices and Nutritional Status of Children,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",Breastfed child 6-23m adequate diet (%),,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Child Feeding Practices and Nutritional Status of Children,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",Breastfed child 6-23m adequate diet (%),27.7,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Child Feeding Practices and Nutritional Status of Children,"Non-breastfeeding children age 6-23 months receiving an adequate diet10, 11 (%)",Breastfed child 6-23m adequate diet (%),31.8,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Child Feeding Practices and Nutritional Status of Children,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",Total child 6-23m adequate diet (%),25.5,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Child Feeding Practices and Nutritional Status of Children,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",Total child 6-23m adequate diet (%),17.6,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Child Feeding Practices and Nutritional Status of Children,"Total children age 6-23 months receiving an adequate diet10, 11 (%)",Total child 6-23m adequate diet (%),18.9,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height-for-age)12 (%),Children under 5 stunted (%),19.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height-for-age)12 (%),Children under 5 stunted (%),21.9,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are stunted (height-for-age)12 (%),Children under 5 stunted (%),21.4,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight-for-height)12 (%),Children under 5 wasted (%),8.2,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight-for-height)12 (%),Children under 5 wasted (%),11.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are wasted (weight-for-height)12 (%),Children under 5 wasted (%),10.6,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight-for-height)13 (%),Children under 5 severely wasted (%),3.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight-for-height)13 (%),Children under 5 severely wasted (%),4.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are severely wasted (weight-for-height)13 (%),Children under 5 severely wasted (%),4.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight-for-age)12 (%),Children under 5 underweight (%),11.6,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight-for-age)12 (%),Children under 5 underweight (%),15.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are underweight (weight-for-age)12 (%),Children under 5 underweight (%),14.5,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight-for-height)14 (%),,5.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight-for-height)14 (%),,4.2,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Child Feeding Practices and Nutritional Status of Children,Children under 5 years who are overweight (weight-for-height)14 (%),,4.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Nutritional Status of Adults (age 15-49 years),Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),Women BMI below normal (%),6.6,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Nutritional Status of Adults (age 15-49 years),Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),Women BMI below normal (%),10.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Nutritional Status of Adults (age 15-49 years),Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)15 (%),Women BMI below normal (%),9.5,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Nutritional Status of Adults (age 15-49 years),Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),Men BMI below normal (%),7.4,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Nutritional Status of Adults (age 15-49 years),Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),Men BMI below normal (%),10.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Nutritional Status of Adults (age 15-49 years),Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),Men BMI below normal (%),9.5,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Nutritional Status of Adults (age 15-49 years),Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),Women overweight/obese (%),48.7,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Nutritional Status of Adults (age 15-49 years),Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),Women overweight/obese (%),33.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Nutritional Status of Adults (age 15-49 years),Women who are overweight or obese (BMI ≥25.0 kg/m2)15 (%),Women overweight/obese (%),36.7,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Nutritional Status of Adults (age 15-49 years),Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),Men overweight/obese (%),35.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Nutritional Status of Adults (age 15-49 years),Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),Men overweight/obese (%),24.7,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Nutritional Status of Adults (age 15-49 years),Men who are overweight or obese (BMI ≥25.0 kg/m2) (%),Men overweight/obese (%),27.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Blood Sugar Level among Adults (age 15+) - Women,Blood sugar level - high (141-160 mg/dl)16 (%),,6.2,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Blood Sugar Level among Adults (age 15+) - Women,Blood sugar level - high (141-160 mg/dl)16 (%),,5.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Blood Sugar Level among Adults (age 15+) - Women,Blood sugar level - high (141-160 mg/dl)16 (%),,5.5,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Blood Sugar Level among Adults (age 15+) - Women,Blood sugar level - very high (>160 mg/dl)16 (%),,9.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Blood Sugar Level among Adults (age 15+) - Women,Blood sugar level - very high (>160 mg/dl)16 (%),,5.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Blood Sugar Level among Adults (age 15+) - Women,Blood sugar level - very high (>160 mg/dl)16 (%),,6.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Blood Sugar Level among Adults (age 15+) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),,17.0,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Blood Sugar Level among Adults (age 15+) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),,11.9,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Blood Sugar Level among Adults (age 15+) - Women,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),,13.0,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Blood Sugar Level among Adults (age 15+) - Men,Blood sugar level - high (141-160 mg/dl)16 (%),,4.8,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Blood Sugar Level among Adults (age 15+) - Men,Blood sugar level - high (141-160 mg/dl)16 (%),,5.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Blood Sugar Level among Adults (age 15+) - Men,Blood sugar level - high (141-160 mg/dl)16 (%),,5.0,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Blood Sugar Level among Adults (age 15+) - Men,Blood sugar level - very high (>160 mg/dl)16 (%),,7.9,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Blood Sugar Level among Adults (age 15+) - Men,Blood sugar level - very high (>160 mg/dl)16 (%),,4.2,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Blood Sugar Level among Adults (age 15+) - Men,Blood sugar level - very high (>160 mg/dl)16 (%),,5.0,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Blood Sugar Level among Adults (age 15+) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),,14.6,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Blood Sugar Level among Adults (age 15+) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),,10.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Blood Sugar Level among Adults (age 15+) - Men,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level16 (%),,11.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Hypertension among Adults (age 15+) - Women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),,14.0,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Hypertension among Adults (age 15+) - Women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),,12.6,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Hypertension among Adults (age 15+) - Women,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),,12.9,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Hypertension among Adults (age 15+) - Women,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),,5.9,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Hypertension among Adults (age 15+) - Women,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),,5.0,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Hypertension among Adults (age 15+) - Women,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),,5.2,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Hypertension among Adults (age 15+) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),,29.4,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Hypertension among Adults (age 15+) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),,23.7,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Hypertension among Adults (age 15+) - Women,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),,25.0,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Hypertension among Adults (age 15+) - Men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),,15.0,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Hypertension among Adults (age 15+) - Men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),,11.8,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Hypertension among Adults (age 15+) - Men,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),,12.5,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Hypertension among Adults (age 15+) - Men,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),,3.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Hypertension among Adults (age 15+) - Men,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),,2.5,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Hypertension among Adults (age 15+) - Men,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or Diastolic ≥100 mm of Hg) (%),,2.6,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Hypertension among Adults (age 15+) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),,26.2,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Hypertension among Adults (age 15+) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),,19.4,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Hypertension among Adults (age 15+) - Men,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),,20.9,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Women's Empowerment (women age 15-49 years),Currently married women who usually participate in three household decisions17 (%),Married women participate in HH decisions (%),95.8,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Women's Empowerment (women age 15-49 years),Currently married women who usually participate in three household decisions17 (%),Married women participate in HH decisions (%),90.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Women's Empowerment (women age 15-49 years),Currently married women who usually participate in three household decisions17 (%),Married women participate in HH decisions (%),91.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Women's Empowerment (women age 15-49 years),Women who worked in the last 12 months and were paid in cash (%),Women paid in cash for work (%),13.4,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Women's Empowerment (women age 15-49 years),Women who worked in the last 12 months and were paid in cash (%),Women paid in cash for work (%),14.4,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Women's Empowerment (women age 15-49 years),Women who worked in the last 12 months and were paid in cash (%),Women paid in cash for work (%),14.2,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Women's Empowerment (women age 15-49 years),Women having a bank or savings account that they themselves use (%),Women with own bank/savings account (%),93.9,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Women's Empowerment (women age 15-49 years),Women having a bank or savings account that they themselves use (%),Women with own bank/savings account (%),92.8,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Women's Empowerment (women age 15-49 years),Women having a bank or savings account that they themselves use (%),Women with own bank/savings account (%),93.0,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Women's Empowerment (women age 15-49 years),Women having a mobile phone that they themselves use (%),Women with own mobile phone (%),86.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Women's Empowerment (women age 15-49 years),Women having a mobile phone that they themselves use (%),Women with own mobile phone (%),74.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Women's Empowerment (women age 15-49 years),Women having a mobile phone that they themselves use (%),Women with own mobile phone (%),76.9,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Women's Empowerment (women age 15-49 years),Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women 15-24 hygienic menstrual protection (%),95.5,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Women's Empowerment (women age 15-49 years),Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women 15-24 hygienic menstrual protection (%),79.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Women's Empowerment (women age 15-49 years),Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women 15-24 hygienic menstrual protection (%),82.5,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence19 (%),Ever-married women experienced spousal violence (%),2.4,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence19 (%),Ever-married women experienced spousal violence (%),3.7,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have ever experienced spousal violence19 (%),Ever-married women experienced spousal violence (%),3.4,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),,0.8,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),,0.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Gender Based Violence (age 18-49 years),Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),,0.4,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age 18 (%),,0.0,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age 18 (%),,0.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Gender Based Violence (age 18-49 years),Young women age 18-29 years who experienced sexual violence by age 18 (%),,0.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Tobacco Use and Alcohol Consumption among Adults (age 15+),Women age 15 years and above who use any kind of tobacco (%),Women who use any tobacco (%),1.8,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Tobacco Use and Alcohol Consumption among Adults (age 15+),Women age 15 years and above who use any kind of tobacco (%),Women who use any tobacco (%),3.4,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Tobacco Use and Alcohol Consumption among Adults (age 15+),Women age 15 years and above who use any kind of tobacco (%),Women who use any tobacco (%),3.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Tobacco Use and Alcohol Consumption among Adults (age 15+),Men age 15 years and above who use any kind of tobacco (%),Men who use any tobacco (%),24.8,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Tobacco Use and Alcohol Consumption among Adults (age 15+),Men age 15 years and above who use any kind of tobacco (%),Men who use any tobacco (%),31.7,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Tobacco Use and Alcohol Consumption among Adults (age 15+),Men age 15 years and above who use any kind of tobacco (%),Men who use any tobacco (%),30.1,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Tobacco Use and Alcohol Consumption among Adults (age 15+),Women age 15 years and above who consume alcohol (%),Women who consume alcohol (%),0.2,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Tobacco Use and Alcohol Consumption among Adults (age 15+),Women age 15 years and above who consume alcohol (%),Women who consume alcohol (%),0.3,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Tobacco Use and Alcohol Consumption among Adults (age 15+),Women age 15 years and above who consume alcohol (%),Women who consume alcohol (%),0.2,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Urban,Tobacco Use and Alcohol Consumption among Adults (age 15+),Men age 15 years and above who consume alcohol (%),Men who consume alcohol (%),7.6,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Rural,Tobacco Use and Alcohol Consumption among Adults (age 15+),Men age 15 years and above who consume alcohol (%),Men who consume alcohol (%),7.2,,NFHS-6 PDF
Jammu and Kashmir,NFHS-6,2023-24,Total,Tobacco Use and Alcohol Consumption among Adults (age 15+),Men age 15 years and above who consume alcohol (%),Men who consume alcohol (%),7.3,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Urban,Population and Household Profile,Population below age 5 years (%),,6.2,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Rural,Population and Household Profile,Population below age 5 years (%),,6.8,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Total,Population and Household Profile,Population below age 5 years (%),,6.7,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Urban,Population and Household Profile,Population below age 15 years (%),Population below age 15 years (%),22.5,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Rural,Population and Household Profile,Population below age 15 years (%),Population below age 15 years (%),26.4,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Total,Population and Household Profile,Population below age 15 years (%),Population below age 15 years (%),25.7,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Urban,Population and Household Profile,Population age 60 years and above (%),,15.1,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Rural,Population and Household Profile,Population age 60 years and above (%),,14.5,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Total,Population and Household Profile,Population age 60 years and above (%),,14.6,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Urban,Population and Household Profile,Population living in households with electricity (%),Households with electricity (%),99.3,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Rural,Population and Household Profile,Population living in households with electricity (%),Households with electricity (%),99.8,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Total,Population and Household Profile,Population living in households with electricity (%),Households with electricity (%),99.7,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Urban,Population and Household Profile,Population living in households with an improved drinking-water source1 (%),Households with improved drinking-water source (%),98.7,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Rural,Population and Household Profile,Population living in households with an improved drinking-water source1 (%),Households with improved drinking-water source (%),94.4,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Total,Population and Household Profile,Population living in households with an improved drinking-water source1 (%),Households with improved drinking-water source (%),95.2,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Urban,Population and Household Profile,Households using iodized salt (%),Households using iodized salt (%),99.1,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Rural,Population and Household Profile,Households using iodized salt (%),Households using iodized salt (%),99.1,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Total,Population and Household Profile,Households using iodized salt (%),Households using iodized salt (%),99.1,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Urban,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),HH member covered by health insurance/scheme (%),92.3,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Rural,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),HH member covered by health insurance/scheme (%),96.9,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Total,Population and Household Profile,Households with any usual member covered under a health insurance/financing scheme (%),HH member covered by health insurance/scheme (%),96.0,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Urban,Population and Household Profile,Households with any usual member having a bank account/post office account (%),,98.8,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Rural,Population and Household Profile,Households with any usual member having a bank account/post office account (%),,99.4,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Total,Population and Household Profile,Households with any usual member having a bank account/post office account (%),,99.3,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Urban,Population and Household Profile,Female population age 6 years and above who ever attended school (%),Female population age 6+ who ever attended school (%),77.2,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Rural,Population and Household Profile,Female population age 6 years and above who ever attended school (%),Female population age 6+ who ever attended school (%),67.5,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Total,Population and Household Profile,Female population age 6 years and above who ever attended school (%),Female population age 6+ who ever attended school (%),69.3,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Urban,Population and Household Profile,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),,8.1,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Rural,Population and Household Profile,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),,6.9,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Total,Population and Household Profile,Households with any usual female members owning a house and/or land (alone or jointly with others) (%),,7.1,,NFHS-6 PDF
Ladakh,NFHS-6,2023-24,Urban,Population and Household Profile,Children age 2-4 years who attended pre-school (%),,38.0,,NFHS-6 PDF
